,strategy,CAGR,MDD,volatility,Sharpe,Sortino,Ulcer,UPI,Calmar,mean_weight,mean_cash,orders,turnover_pa,fee_sum,final_multiple,reversal_14d_count,reversal_14d_rate,recovery_max_days,recovery_mean_days,recovered_episodes,unrecovered_days,underwater_max_days,period
74,confirm2,0.3855347498,-0.6408449585,0.470844742,0.9334649045,1.372136895,0.3582982146,1.076016385,0.6016037806,0.5738276311,0.4261723689,65,3.279404279,0.02424200288,11.13945398,7,0.1076923077,1307,67.5,34,283,1307,사후적 holdout 2019 이후
75,buffer1,0.3687703945,-0.6444489126,0.4689526023,0.9095565384,1.330787144,0.3598558135,1.024772647,0.5722259551,0.5766299734,0.4233700266,67,3.144162353,0.02324226791,10.18081845,5,0.07462686567,1065,62.05405405,37,283,1065,사후적 holdout 2019 이후
76,confirm2_buffer1,0.3962477193,-0.6420983149,0.4689129125,0.952047789,1.396952648,0.3406914208,1.163069262,0.6171137818,0.5800804691,0.4199195309,65,3.075878873,0.02273750297,11.79210137,4,0.06153846154,1056,56.97222222,36,522,1056,사후적 holdout 2019 이후
77,weekly,0.3836885221,-0.618907494,0.4739866759,0.9274486373,1.367114224,0.3514836134,1.091625633,0.6199448638,0.5745596022,0.4254403978,60,3.217908,0.02378741026,11.03019524,6,0.1,1308,60.5,34,522,1308,사후적 holdout 2019 이후
78,hybrid_score,0.4018040981,-0.6186969819,0.4593886997,0.9705012636,1.433044186,0.3124967898,1.285786322,0.649436008,0.5707134912,0.4292865088,174,5.906111883,0.04365914328,12.14343701,85,0.4885057471,1051,59.53846154,39,283,1051,사후적 holdout 2019 이후
79,hybrid_score_conservative,0.397082136,-0.6161156607,0.4562891397,0.9665779329,1.428097113,0.3066049568,1.295093661,0.6444928465,0.5454936443,0.4545063557,118,5.330144388,0.03940147802,11.84429468,55,0.4661016949,1050,58.82051282,39,283,1050,사후적 holdout 2019 이후
80,buy_hold,0.5072639997,-0.7666881596,0.6179010659,0.9770018129,1.446885407,0.3680078588,1.378405345,0.661630147,1,0,1,0.1351426351,0.000999000999,20.75920062,0,0,847,45.22641509,53,229,847,사후적 holdout 2019 이후
81,weekly_price,0.4595201532,-0.5225042168,0.4603454204,1.050098779,1.630651334,0.2644806681,1.737443256,0.8794573104,0.5903703704,0.4096296296,33,4.461869242,0.03298301698,16.36339449,10,0.303030303,1051,48.61702128,47,283,1051,사후적 holdout 2019 이후
82,monthly_10m,0.5429609401,-0.530832087,0.5006933059,1.115175679,1.728205024,0.2490032427,2.180537628,1.022848757,0.6988888889,0.3011111111,8,1.081681652,0.007996003996,24.68066104,0,0,715,41.34545455,55,229,715,사후적 holdout 2019 이후
83,weekly_price_vol,0.3318246076,-0.3769433603,0.3257438779,1.041281109,1.638497571,0.1855529999,1.788300959,0.8803036281,0.4460960074,0.5539039926,216,4.759624028,0.03518407906,8.316431484,78,0.3611111111,1037,40.625,56,283,1037,사후적 holdout 2019 이후
